P1 P2 P3 Time
3 17 15 72255
3 17 16 72255
3 17 17 72255
3 18 1 74355
3 18 2 73305
3 18 3 72855
3 18 4 72705
3 18 5 72555
3 18 6 72555
3 18 7 72555
3 18 8 72405
3 18 9 72405
3 18 10 72405
3 18 11 72405
3 18 12 72405
3 18 13 72405
3 18 14 72405
3 18 15 72255
3 18 16 72255
3 18 17 72255
3 19 1 74355
3 19 2 73305
3 19 3 72855
3 19 4 72705
3 19 5 72555
3 19 6 72555
3 19 7 72555
3 19 8 72405
3 19 9 72405
3 19 10 72405
3 19 11 72405
3 19 12 72405
3 19 13 72405
3 19 14 72405
3 19 15 72255
3 19 16 72255
3 19 17 72255
3 20 1 74355
3 20 2 73305
3 20 3 72855
3 20 4 72705
3 20 5 72555
3 20 6 72555
3 20 7 72555
3 20 8 72405
3 20 9 72405
3 20 10 72405
3 20 11 72405
3 20 12 72405
3 20 13 72405
3 20 14 72405
3 20 15 72255
3 20 16 72255
3 20 17 72255
3 21 1 74355
3 21 2 73305
3 21 3 72855
3 21 4 72705
3 21 5 72555
3 21 6 72555
3 21 7 72555
3 21 8 72405
3 21 9 72405
3 21 10 72405
3 21 11 72405
3 21 12 72405
3 21 13 72405
3 21 14 72405
3 21 15 72255
3 21 16 72255
3 21 17 72255
3 22 1 74355
3 22 2 73305
3 22 3 72855
3 22 4 72705
3 22 5 72555
3 22 6 72555
3 22 7 72555
3 22 8 72405
3 22 9 72405
3 22 10 72405
3 22 11 72405
3 22 12 72405
3 22 13 72405
3 22 14 72405
3 22 15 72255
3 22 16 72255
3 22 17 72255
3 23 1 74355
3 23 2 73305
3 23 3 72855
3 23 4 72705
3 23 5 72555
3 23 6 72555
3 23 7 72555
3 23 8 72405
3 23 9 72405
3 23 10 72405
3 23 11 72405
3 23 12 72405
3 23 13 72405
3 23 14 72405
3 23 15 72255
3 23 16 72255
3 23 17 72255
3 24 1 74215
3 24 2 73165
3 24 3 72715
3 24 4 72565
3 24 5 72415
3 24 6 72415
3 24 7 72415
3 24 8 72265
3 24 9 72265
3 24 10 72265
3 24 11 72265
3 24 12 72265
3 24 13 72265
3 24 14 72265
3 24 15 72115
3 24 16 72115
3 24 17 72115
3 25 1 74215
3 25 2 73165
3 25 3 72715
3 25 4 72565
3 25 5 72415
3 25 6 72415
3 25 7 72415
3 25 8 72265
3 25 9 72265
3 25 10 72265
3 25 11 72265
3 25 12 72265
3 25 13 72265
3 25 14 72265
3 25 15 72115
3 25 16 72115
3 25 17 72115
4 1 1 60755
4 1 2 59705
4 1 3 59255
4 1 4 59105
4 1 5 58955
4 1 6 58955
4 1 7 58955
4 1 8 58805
4 1 9 58805
4 1 10 58805
4 1 11 58805
4 1 12 58805
4 1 13 58805
4 1 14 58805
4 1 15 58655
4 1 16 58655
4 1 17 58655
4 2 1 59075
4 2 2 58025
4 2 3 57575
4 2 4 57425
4 2 5 57275
4 2 6 57275
4 2 7 57275
4 2 8 57125
4 2 9 57125
4 2 10 57125
4 2 11 57125
4 2 12 57125
4 2 13 57125
4 2 14 57125
4 2 15 56975
4 2 16 56975
4 2 17 56975
4 3 1 58515
4 3 2 57465
4 3 3 57015
4 3 4 56865
4 3 5 56715
4 3 6 56715
4 3 7 56715
4 3 8 56565
4 3 9 56565
4 3 10 56565
4 3 11 56565
4 3 12 56565
4 3 13 56565
4 3 14 56565
4 3 15 56415
4 3 16 56415
4 3 17 56415
4 4 1 58235
4 4 2 57185
4 4 3 56735
4 4 4 56585
4 4 5 56435
4 4 6 56435
4 4 7 56435
4 4 8 56285
4 4 9 56285
4 4 10 56285
4 4 11 56285
4 4 12 56285
4 4 13 56285
4 4 14 56285
4 4 15 56135
4 4 16 56135
4 4 17 56135
4 5 1 58095
4 5 2 57045
4 5 3 56595
4 5 4 56445
4 5 5 56295
4 5 6 56295
4 5 7 56295
4 5 8 56145
4 5 9 56145
4 5 10 56145
4 5 11 56145
4 5 12 56145
4 5 13 56145
4 5 14 56145
4 5 15 55995
4 5 16 55995
4 5 17 55995
4 6 1 57955
4 6 2 56905
4 6 3 56455
4 6 4 56305
4 6 5 56155
4 6 6 56155
4 6 7 56155
4 6 8 56005
4 6 9 56005
4 6 10 56005
4 6 11 56005
4 6 12 56005
4 6 13 56005
4 6 14 56005
4 6 15 55855
4 6 16 55855
4 6 17 55855
4 7 1 57955
4 7 2 56905
4 7 3 56455
4 7 4 56305
4 7 5 56155
4 7 6 56155
4 7 7 56155
4 7 8 56005
4 7 9 56005
4 7 10 56005
4 7 11 56005
4 7 12 56005
4 7 13 56005
4 7 14 56005
4 7 15 55855
